BirthPlace,
"Abbeville, AL",
"Abbeville, Alabama",
"Abbeville, LA",
"Abbeville, LA",
"Abbeville, LA",
"Abbeville, LA",
"Abbeville, SC",
"Abbotsford, WI",
"Aberdeen , Aberdeen",
"Aberdeen , MS",
"Aberdeen , SD",
"Aberdeen , WA",
"Aberdeen, MA",
"Aberdeen, MD",
"Aberdeen, MD",
"Aberdeen, MD",
"Aberdeen, Mississippi",
"Aberdeen, Mississippi",
"Aberdeen, MS",
"Aberdeen, MS",
"Aberdeen, MS",
"Aberdeen, MS",
"Aberdeen, MS",
"Aberdeen, Scotland",
"Aberdeen, SD",
"Aberdeen, SD",
"Aberdeen, WA",
"Aberdeen, WA",
"Aberdeen, Washington",
"Abilene , TX",
"Abilene , TX",
"Abilene , TX",
"Abilene, Texas",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abilene, TX",
"Abingdon, VA",
"Abington , PA",
"Abington , PA",
"Abington , PA",
"Abington , PA",
"Abington , PA",
"Abington , PA",
"Abington, MA",
"Abington, PA",
"Abington, PA",
"Abington, PA",
"Abington, PA",
"Abington, PA",
"Abington, PA",
"Abington, PA",
"Abington, Pennsylvania",
"Abington, VA",
"Abita Springs, LA",
"Abner , TX",
"Acampo, CA",
"Accokeek, MD",
"Accokeek, MD",
"Accra, Ghana",
"Acworth, GA",
"Ada , OK",
"Ada , OK",
"Ada , OK",
"Ada , OK",
"Ada , OK",
"Ada , OK",
"Ada, OK",
"Ada, OK",
"Ada, OK",
"Adairsville, GA",
"Adams , MA",
"Adams City, IN",
"Adams, NE",
"Adams, PA",
"Adamsville, RI",
"Addison, IL",
"Addy , WA",
"Adel, GA",
"Adelaide , South Australia",
"Adelaide , South Australia",
"Adelaide, Australia",
"Adena, OH",
"Adrian , MI",
"Adrian , MI",
"Adrian , MO",
"Adrian, MI",
"Adrian, MI",
"Adrian, MI",
"Adrian, MO",
"Adrian, NM",
"Advance, NC",
"Afton, TX",
"Afton, Wyoming",
"Agawam , MA",
"Agnew , CA",
"Agoura Hills , CA",
"Agua Dulce, CA",
"Ahoskie , NC",
"Ahoskie, NC",
"Ahoskie, NC",
"Ahoskie, NC",
"Ahoskie, NC",
"Ahoskie, NC",
"Ahoskie, NC",
"Ahoskie, NC",
"Ahsahka, ID",
"Ahvaz, Islamic Republic of Iran",
"Aibonito , NA",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Aiken, SC",
"Akron , AL",
"Akron , OH",
"Akron , OH",
"Akron , OH",
"Akron , OH",
"Akron , OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, OH",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
"Akron, Ohio",
AL,
AL,
"Alabaster, AL",
"Alachua, FL",
"Alamaeda County, CA",
"Alamance County , NC",
"Alameda , CA",
"Alameda , CA",
"Alameda , CA",
"Alameda , CA",
"Alameda , CA",
"Alameda , CA",
"Alameda , CA",
"Alameda County, CA",
"Alameda County, CA",
"Alameda County, CA",
"Alameda, CA",
"Alameda, CA",
"Alameda, CA",
"Alamo, CA",
"Alamogordo , NM",
"Alamogordo, New Mexico",
"Alamogordo, NM",
"Albany , CA",
"Albany , GA",
"Albany , GA",
"Albany , NY",
"Albany , NY",
"Albany , NY",
"Albany , NY",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
"Albany, GA",
