City,Abbr.,County,Alias_Abbr
Aberdeen Proving Ground,MD,HARFORD,"Aberdeen Proving Ground, MD"
Abilene,TX,TAYLOR,"Abilene, TX"
Acton,MA,MIDDLESEX,"Acton, MA"
Acushnet,MA,BRISTOL,"Acushnet, MA"
Acworth,GA,CHEROKEE,"Acworth, GA"
Acworth,GA,COBB,"Acworth, GA"
Adak,AK,ALEUTIANS WEST,"Adak, AK"
Adjuntas,PR,ADJUNTAS,"Adjuntas, PR"
Agana Heights,GU,GUAM,"Agana Heights, GU"
Agoura Hills,CA,LOS ANGELES,"Agoura Hills, CA"
Akron,OH,SUMMIT,"Akron, OH"
Alabaster,AL,SHELBY,"Alabaster, AL"
Albany,CA,ALAMEDA,"Albany, CA"
Albuquerque,NM,BERNALILLO,"Albuquerque, NM"
Alexandria,VA,ALEXANDRIA CITY,"Alexandria, VA"
Alexandria,VA,FAIRFAX,"Alexandria, VA"
Algonquin,IL,MCHENRY,"Algonquin, IL"
Alice,TX,JIM WELLS,"Alice, TX"
Aliso Viejo,CA,ORANGE,"Aliso Viejo, CA"
Alkol,WV,LINCOLN,"Alkol, WV"
Alma,KS,WABAUNSEE,"Alma, KS"
Alma,NY,ALLEGANY,"Alma, NY"
Alpine,AR,CLARK,"Alpine, AR"
Alta,CA,PLACER,"Alta, CA"
Altus,OK,JACKSON,"Altus, OK"
Amarillo,TX,POTTER,"Amarillo, TX"
Amarillo,TX,RANDALL,"Amarillo, TX"
American Canyon,CA,NAPA,"American Canyon, CA"
Amherst,MA,HAMPSHIRE,"Amherst, MA"
Anacortes,WA,SKAGIT,"Anacortes, WA"
Anchorage,AK,ANCHORAGE,"Anchorage, AK"
Anderson,TX,GRIMES,"Anderson, TX"
Andover,MN,ANOKA,"Andover, MN"
Angels Camp,CA,CALAVERAS,"Angels Camp, CA"
Angie,LA,WASHINGTON,"Angie, LA"
Angwin,CA,NAPA,"Angwin, CA"
Anniston,AL,CALHOUN,"Anniston, AL"
Anoka,MN,ANOKA,"Anoka, MN"
Anthony,NM,DONA ANA,"Anthony, NM"
Apache Junction,AZ,PINAL,"Apache Junction, AZ"
Apo,AE,,"Apo, AE"
Arcadia,KS,CRAWFORD,"Arcadia, KS"
Archbold,OH,FULTON,"Archbold, OH"
Arenas Valley,NM,GRANT,"Arenas Valley, NM"
Arley,AL,WINSTON,"Arley, AL"
Arlington,MA,MIDDLESEX,"Arlington, MA"
Arlington,OR,GILLIAM,"Arlington, OR"
Arlington,VA,ARLINGTON,"Arlington, VA"
Arnold,KS,NESS,"Arnold, KS"
Aroda,VA,MADISON,"Aroda, VA"
Artesia,CA,LOS ANGELES,"Artesia, CA"
Arvada,CO,JEFFERSON,"Arvada, CO"
Astoria,NY,QUEENS,"Astoria, NY"
Athol,KY,BREATHITT,"Athol, KY"
Atlanta,GA,COBB,"Atlanta, GA"
Atlanta,GA,DEKALB,"Atlanta, GA"
Atlanta,GA,FULTON,"Atlanta, GA"
Atlanta,ID,ELMORE,"Atlanta, ID"
Atlantic Beach,FL,DUVAL,"Atlantic Beach, FL"
Auburn,AL,LEE,"Auburn, AL"
Auburn,WA,KING,"Auburn, WA"
Audubon,PA,MONTGOMERY,"Audubon, PA"
Augusta,GA,COLUMBIA,"Augusta, GA"
Augusta,GA,RICHMOND,"Augusta, GA"
Aurora,CO,ADAMS,"Aurora, CO"
Aurora,CO,ARAPAHOE,"Aurora, CO"
Aurora,IL,DUPAGE,"Aurora, IL"
Aurora,IL,KANE,"Aurora, IL"
Aurora,IL,WILL,"Aurora, IL"
Austin,TX,HAYS,"Austin, TX"
Austin,TX,TRAVIS,"Austin, TX"
Austin,TX,WILLIAMSON,"Austin, TX"
Ayer,MA,MIDDLESEX,"Ayer, MA"
Aynor,SC,HORRY,"Aynor, SC"
Azle,TX,PARKER,"Azle, TX"
Azle,TX,TARRANT,"Azle, TX"
Babylon,NY,SUFFOLK,"Babylon, NY"
Baker,CA,SAN BERNARDINO,"Baker, CA"
Bakewell,TN,HAMILTON,"Bakewell, TN"
Balch Springs,TX,DALLAS,"Balch Springs, TX"
Baltimore,MD,ANNE ARUNDEL,"Baltimore, MD"
Baltimore,MD,BALTIMORE,"Baltimore, MD"
Baltimore,MD,BALTIMORE CITY,"Baltimore, MD"
Banco,VA,MADISON,"Banco, VA"
Bangor,PA,NORTHAMPTON,"Bangor, PA"
Banks,AL,PIKE,"Banks, AL"
Banks,OR,WASHINGTON,"Banks, OR"
Banner Elk,NC,AVERY,"Banner Elk, NC"
Barrigada,GU,GUAM,"Barrigada, GU"
Barrow,AK,NORTH SLOPE,"Barrow, AK"
Barstow,CA,SAN BERNARDINO,"Barstow, CA"
Bartlett,IL,DUPAGE,"Bartlett, IL"
Barton,VT,ORLEANS,"Barton, VT"
Basehor,KS,LEAVENWORTH,"Basehor, KS"
Basking Ridge,NJ,SOMERSET,"Basking Ridge, NJ"
Bass Lake,CA,MADERA,"Bass Lake, CA"
Batavia,IL,KANE,"Batavia, IL"
Battlement Mesa,CO,GARFIELD,"Battlement Mesa, CO"
Baxter,MN,CROW WING,"Baxter, MN"
Bay City,MI,BAY,"Bay City, MI"
Bay Saint Louis,MS,HANCOCK,"Bay Saint Louis, MS"
Bayside,NY,QUEENS,"Bayside, NY"
Baytown,TX,CHAMBERS,"Baytown, TX"
Baytown,TX,HARRIS,"Baytown, TX"
Beaufort,SC,BEAUFORT,"Beaufort, SC"
Beaver,OR,TILLAMOOK,"Beaver, OR"
Bedford Park,IL,COOK,"Bedford Park, IL"
Bedford,MA,MIDDLESEX,"Bedford, MA"
Beech Island,SC,AIKEN,"Beech Island, SC"
Beecher City,IL,EFFINGHAM,"Beecher City, IL"
Belden,CA,PLUMAS,"Belden, CA"
Belding,MI,IONIA,"Belding, MI"
Bell Gardens,CA,LOS ANGELES,"Bell Gardens, CA"
Bell,CA,LOS ANGELES,"Bell, CA"
Belleair Beach,FL,PINELLAS,"Belleair Beach, FL"
Belleville,IL,SAINT CLAIR,"Belleville, IL"
Bellevue,KY,CAMPBELL,"Bellevue, KY"
Bellevue,NE,SARPY,"Bellevue, NE"
Belmont,MA,MIDDLESEX,"Belmont, MA"
Belvidere Center,VT,LAMOILLE,"Belvidere Center, VT"
Bensalem,PA,BUCKS,"Bensalem, PA"
Bensenville,IL,DUPAGE,"Bensenville, IL"
Benson,VT,RUTLAND,"Benson, VT"
Benton,AR,SALINE,"Benton, AR"
Berkeley,CA,ALAMEDA,"Berkeley, CA"
Berne,IN,ADAMS,"Berne, IN"
Bethel,AK,BETHEL,"Bethel, AK"
Bethesda,MD,MONTGOMERY,"Bethesda, MD"
Bethlehem,PA,LEHIGH,"Bethlehem, PA"
Bethlehem,PA,NORTHAMPTON,"Bethlehem, PA"
Big Bear City,CA,SAN BERNARDINO,"Big Bear City, CA"
Big Lake,AK,MATANUSKA SUSITNA,"Big Lake, AK"
Biloxi,MS,HARRISON,"Biloxi, MS"
Bingham,IL,FAYETTE,"Bingham, IL"
Birmingham,AL,JEFFERSON,"Birmingham, AL"
Birmingham,AL,SHELBY,"Birmingham, AL"
Bishop,CA,INYO,"Bishop, CA"
Blackduck,MN,BELTRAMI,"Blackduck, MN"
Bland,MO,GASCONADE,"Bland, MO"
Blandinsville,IL,MCDONOUGH,"Blandinsville, IL"
Blue Springs,MO,JACKSON,"Blue Springs, MO"
Bluffton,SC,BEAUFORT,"Bluffton, SC"
Blythe,CA,RIVERSIDE,"Blythe, CA"
Blytheville,AR,MISSISSIPPI,"Blytheville, AR"
Boaz,AL,MARSHALL,"Boaz, AL"
Boise,ID,ADA,"Boise, ID"
Bolivar,MO,POLK,"Bolivar, MO"
Bonduel,WI,SHAWANO,"Bonduel, WI"
Boothbay Harbor,ME,LINCOLN,"Boothbay Harbor, ME"
Boothbay,ME,LINCOLN,"Boothbay, ME"
Boring,OR,CLACKAMAS,"Boring, OR"
Bosler,WY,ALBANY,"Bosler, WY"
Bosque Farms,NM,VALENCIA,"Bosque Farms, NM"
Boston,MA,SUFFOLK,"Boston, MA"
Bothell,WA,KING,"Bothell, WA"
Bothell,WA,SNOHOMISH,"Bothell, WA"
Boys Ranch,TX,OLDHAM,"Boys Ranch, TX"
Bradenton Beach,FL,MANATEE,"Bradenton Beach, FL"
Brainerd,MN,CROW WING,"Brainerd, MN"
Branchville,NJ,SUSSEX,"Branchville, NJ"
Brighton,CO,ADAMS,"Brighton, CO"
Brighton,CO,WELD,"Brighton, CO"
Bristol,VA,BRISTOL CITY,"Bristol, VA"
Broadview,IL,COOK,"Broadview, IL"
Broken Arrow,OK,TULSA,"Broken Arrow, OK"
Brookfield,WI,WAUKESHA,"Brookfield, WI"
Brookline,MA,NORFOLK,"Brookline, MA"
Brooklyn,MD,BALTIMORE CITY,"Brooklyn, MD"
Brooksville,FL,HERNANDO,"Brooksville, FL"
Broomfield,CO,BROOMFIELD,"Broomfield, CO"
Brownville,ME,PISCATAQUIS,"Brownville, ME"
Brownwood,TX,BROWN,"Brownwood, TX"
Bruce,MS,CALHOUN,"Bruce, MS"
Brunswick,GA,GLYNN,"Brunswick, GA"
Brunswick,MD,FREDERICK,"Brunswick, MD"
Bryant,AR,SALINE,"Bryant, AR"
Buckeye,IA,HARDIN,"Buckeye, IA"
Buena Park,CA,ORANGE,"Buena Park, CA"
Buffalo,WY,JOHNSON,"Buffalo, WY"
Bullhead City,AZ,MOHAVE,"Bullhead City, AZ"
Burnt Hills,NY,SARATOGA,"Burnt Hills, NY"
Bushkill,PA,PIKE,"Bushkill, PA"
Butterfield,MO,BARRY,"Butterfield, MO"
Byron,CA,CONTRA COSTA,"Byron, CA"
Cabazon,CA,RIVERSIDE,"Cabazon, CA"
Calabasas,CA,LOS ANGELES,"Calabasas, CA"
Calhoun City,MS,CALHOUN,"Calhoun City, MS"
